id;nomor_faktur;nomor_pemesanan;tgl_faktur;tgl_terima_faktur;keterangan_faktur;status_faktur;supplier_id;created_at;updated_at
171;2616061001562;03/MJP/II/26;2026-02-12;2026-02-12;NULL;DONE;8;NULL;NULL
172;40-0123-26-0001607;10/MJP/II/26;2026-02-11;2026-02-13;NULL;DONE;2;NULL;NULL
173;40-0123-26-0001588;08/MJP/II/26;2026-02-11;2026-02-13;NULL;DONE;2;NULL;NULL
174;40-0123-26-0001651;13/MJP/II/26;2026-02-12;2026-02-13;NULL;DONE;2;NULL;NULL
175;1810136293;12/MJP/II/26;2026-02-12;2026-02-13;NULL;DONE;6;NULL;NULL
176;2616061001398;06/MJP/II/26;2026-02-14;2026-02-14;NULL;DONE;8;NULL;NULL
177;IVC/SBY/260102749;40/MJP/I/26tt;2026-01-31;2026-02-14;NULL;DONE;36;NULL;NULL
178;IVC/SBY/260102219;40/MJP/I/26bv;2026-01-28;2026-02-14;NULL;DONE;36;NULL;NULL
179;IVC/SBY/260102151;31/MJP/I/26bg;2026-01-27;2026-02-16;NULL;DONE;36;NULL;NULL
180;IVC/SBY/260102748;31/MJP/I/26;2026-01-31;2026-02-16;NULL;DONE;36;NULL;NULL
181;1810136379;18/MJP/II/26ui;2026-02-14;2026-02-16;NULL;DONE;6;NULL;NULL
182;40-0123-26-0001723;19/MJP/II/26;2026-02-14;2026-02-16;NULL;DONE;2;NULL;NULL
186;12625001770;07/MJP/II/26yu;2026-02-11;2026-02-18;NULL;DONE;26;NULL;NULL
187;12625001778;04/MJP/II/26;2026-02-11;2026-02-18;NULL;DONE;26;NULL;NULL
188;1810136425;18/MJP/II/26;2026-02-16;2026-02-18;NULL;DONE;6;NULL;NULL
189;12625001857;07/MJP/II/26;2026-02-13;2026-02-18;NULL;DONE;26;NULL;NULL
194;PMJ01/01/FP/2602/01822;15/MJP/II/26iu;2026-02-14;2026-02-19;NULL;DONE;4;NULL;NULL
195;PMJ01/01/FP/2602/01821;15/MJP/II/26;2026-02-14;2026-02-19;NULL;DONE;4;NULL;NULL
196;CD260102131;37/MJP/I/26;2026-01-28;2026-02-19;NULL;DONE;25;NULL;NULL
199;5926002450;17/MJP/II/26ui;2026-02-19;2026-02-19;NULL;DONE;1;NULL;NULL
200;5926002457;17/MJP/II/26nm;2026-02-18;2026-02-19;NULL;DONE;1;NULL;NULL
201;008/I/BA/2026;07/MJP/I/2026;2026-01-12;2026-02-19;NULL;DONE;59;NULL;NULL
202;5926002512;17/MJP/II/26cv;2026-02-19;2026-02-20;NULL;DONE;1;NULL;NULL
203;1810136680;24/MJP/II/26xx;2026-02-20;2026-02-20;NULL;DONE;6;NULL;NULL
204;1810136710;24/MJP/II/26xc;2026-02-20;2026-02-21;NULL;DONE;6;NULL;NULL
205;1810136709;24/MJP/II/26;2026-02-20;2026-02-21;NULL;DONE;6;NULL;NULL
215;131126004815;23/MJP/II/26;2026-02-20;2026-02-23;NULL;DONE;48;NULL;NULL
216;261061001842;20/MJP/II/26xv;2026-02-23;2026-02-24;NULL;DONE;8;NULL;NULL
217;2616061001850;28/MJP/II/26cv;2026-02-23;2026-02-24;NULL;DONE;8;NULL;NULL
218;2616061001847;28/MJP/II/26vb;2026-02-23;2026-02-24;NULL;DONE;8;NULL;NULL
219;CD260110480;casfda;2026-01-29;2026-02-24;NULL;DONE;25;NULL;NULL
220;1810136859;3/OOT/MJP/II/26;2026-02-24;2026-02-24;NULL;DONE;6;NULL;NULL
221;2616061001711;20/MJP/II/26;2026-02-19;2026-02-25;NULL;DONE;8;NULL;NULL
222;5926002777;17/MJP/II/26;2026-02-25;2026-02-25;NULL;DONE;1;NULL;NULL
223;2616061001891;28/MJP/II/26;2026-02-23;2026-02-25;NULL;DONE;8;NULL;NULL
224;5926002752;26/MJP/II/26;2026-02-24;2026-02-25;NULL;DONE;1;NULL;NULL
225;12625002124;21/MJP/II/26vr;2026-02-19;2026-02-25;NULL;DONE;26;NULL;NULL
226;1810136927;29/MJP/II/26er;2026-02-24;2026-02-25;NULL;DONE;6;NULL;NULL
227;1810136907;29/MJP/II/26;2026-02-24;2026-02-25;NULL;DONE;6;NULL;NULL
229;126005870;30/MJP/II/26;2026-02-25;2026-02-26;NULL;DONE;5;NULL;NULL
230;IVC/SBY/260102619;40/MJP/I/26;2026-01-31;2026-02-26;NULL;DONE;36;NULL;NULL
231;5926002846;02/PREKURSOR/MJP/II/26;2026-02-26;2026-02-26;NULL;DONE;1;NULL;NULL
235;1810137056;31/MJP/II/26de;2026-02-27;2026-02-28;NULL;DONE;6;NULL;NULL
236;1810137057;31/MJP/II/26ed;2026-02-26;2026-02-28;NULL;DONE;6;NULL;NULL
237;1810137155;31/MJP/II/26;2026-02-26;2026-02-28;NULL;DONE;6;NULL;NULL
238;2809025033;14/MJP/II/26;2026-02-28;2026-03-03;NULL;DONE;3;NULL;NULL
239;2809028053;42/MJP/II/26;2026-02-28;2026-03-03;NULL;DONE;3;NULL;NULL
240;1810137401;03/OOT/MJP/II/2026;2026-02-28;2026-03-03;NULL;DONE;6;NULL;NULL
