id;nomor_faktur;nomor_pemesanan;tgl_faktur;tgl_terima_faktur;keterangan_faktur;status_faktur;supplier_id;created_at;updated_at
1;5925018075;15/MJP/XII/25;2025-12-29;2026-01-02;NULL;DONE;1;NULL;NULL
2;5925017716;03/MJP/XII/2025;2025-12-22;2026-01-02;NULL;DONE;1;NULL;NULL
3;IVC/SBY/251102112;32/MJP/XI/25;2025-11-28;2026-01-02;NULL;DONE;36;NULL;NULL
4;2516061014619;13/MJP/XII/251;2025-12-23;2026-01-02;NULL;DONE;8;NULL;NULL
5;2516061014814;13/MJP/XII/252;2025-12-29;2026-01-02;NULL;DONE;8;NULL;NULL
6;2516061014763;13/MJP/XII/253;2025-12-27;2026-01-02;NULL;DONE;8;NULL;NULL
7;250111022209;21/MJP/X/2025h;2025-11-27;2026-01-02;NULL;DONE;30;NULL;NULL
8;25111020555;21/MJP/X/2025;2025-10-31;2026-01-02;NULL;DONE;30;NULL;NULL
9;250111020559;78/MJP/X/2025;2025-10-31;2026-01-02;NULL;DONE;30;NULL;NULL
10;DHN2512/0059;24/MJP/XI/25;2025-12-10;2026-01-02;NULL;DONE;22;NULL;NULL
11;PMJ01/01/FP/2512/02449;52/MJP/XII/2025o;2025-12-15;2026-01-02;NULL;DONE;4;NULL;NULL
12;PMJ01/01/FP/2512/02810;52/MJP/XII/2025r;2025-12-17;2026-01-02;NULL;DONE;4;NULL;NULL
13;2516061014815;12/MJP/XII/2025;2025-12-29;2026-01-02;NULL;DONE;8;NULL;NULL
14;PMJ01/01/FP/2512/02838;52/MJP/XII/2025;2025-12-18;2026-01-02;NULL;DONE;4;NULL;NULL
16;IVC/SBY/251200714;43/MJP/XII/2025;2025-12-11;2026-01-02;NULL;DONE;36;NULL;NULL
19;12525014851;14/MJP/XII/25y;2025-12-29;2026-01-03;NULL;DONE;26;NULL;NULL
20;12525014943;14/MJP/XII/25z;2025-12-31;2026-01-03;NULL;DONE;26;NULL;NULL
21;1810132565;44/MJP/XII/2025;2025-12-18;2026-01-03;NULL;DONE;6;NULL;NULL
22;1810132568;01/MJP/XII/25;2025-12-18;2026-01-03;NULL;DONE;6;NULL;NULL
23;2516061014944;16/MJP/XII/25;2025-12-31;2026-01-05;NULL;DONE;8;NULL;NULL
24;2516061014925;13/MJP/XII/25;2025-12-31;2026-01-05;NULL;DONE;8;NULL;NULL
25;2516061014997;18/MJP/XII/25;2025-12-31;2026-01-05;NULL;DONE;8;NULL;NULL
26;25/SI/HO/12/00509;44/MJP/VI/25;2025-12-18;2026-01-07;NULL;DONE;49;NULL;NULL
27;25/SI/HO/12/00510;47/MJP/XII/25;2025-12-18;2026-01-07;NULL;DONE;49;NULL;NULL
28;25/51/HO/12/00508;25/MJP/V/25;2025-12-18;2026-01-07;NULL;DONE;49;NULL;NULL
29;INV/2512/RM0125;51/MJP/XII/25;2025-12-17;2026-01-08;NULL;DONE;42;NULL;NULL
30;2074/INV-MJB/XII/2025;49/MJP/IX/2025;2025-12-18;2026-01-08;NULL;DONE;34;NULL;NULL
31;2075/INV-MJB/XII/2025;23/MJP/X/2025v;2025-12-18;2026-01-08;NULL;DONE;34;NULL;NULL
32;2073/INV-MJB/XII/2025;II/MJP/VII/25;2025-12-18;2026-01-08;NULL;DONE;34;NULL;NULL
33;1810133718;03/MJP/I/26;2026-01-08;2026-01-09;NULL;DONE;6;NULL;NULL
34;1810133719;03/MJP/I/2026;2026-01-08;2026-01-09;NULL;DONE;6;NULL;NULL
35;40-0123-26-0000197;02/MJP/I/26;2026-01-08;2026-01-10;NULL;DONE;2;NULL;NULL
36;1810133916;09/MJP/I/2026;2026-01-12;2026-01-13;NULL;DONE;6;NULL;NULL
37;1810133915;09/MJP/I/26;2026-01-12;2026-01-13;NULL;DONE;6;NULL;NULL
38;2808921196;14/MJP/I/26;2026-01-12;2026-01-13;NULL;DONE;3;NULL;NULL
39;261601000254;12/MJP/I/26m;2026-01-13;2026-01-13;NULL;DONE;8;NULL;NULL
40;IVC/SBY/251201358;43/MJP/XII/25;2025-12-20;2026-01-14;NULL;DONE;36;NULL;NULL
41;IVC/SBY/51201359;43/MJP/XII/25.;2025-12-20;2026-01-14;NULL;DONE;36;NULL;NULL
42;26160100295;01/MJP/I/26;2026-01-13;2026-01-13;NULL;DONE;8;NULL;NULL
43;12625000253;04/MJP/I/26;2026-01-09;2026-01-15;NULL;DONE;26;NULL;NULL
50;5926000541;19/MJP/I/26;2026-01-15;2026-01-15;NULL;DONE;1;NULL;NULL
51;05/FP/002026/000149;01/MJP/I/2026;2026-01-15;2026-01-15;NULL;DONE;24;NULL;NULL
52;2616061000227;05/MJP/I/2026;2026-01-12;2026-01-17;NULL;DONE;8;NULL;NULL
53;1810134279;25/MJP/I/26n;2026-01-15;2026-01-17;NULL;DONE;6;NULL;NULL
54;IVC/SBY/251202167;14/MJP/XII/25;2025-12-31;2026-01-17;NULL;DONE;36;NULL;NULL
55;IVC/SBY/251202349;34/MJP/XII/25;2025-12-31;2026-01-17;NULL;DONE;36;NULL;NULL
56;1810134246;22/MJP/I/26;2026-01-15;2026-01-17;NULL;DONE;6;NULL;NULL
57;1810134192;25/MJP/I/26p;2026-01-15;2026-01-17;NULL;DONE;6;NULL;NULL
58;131126001129;06/MJP/I/26;2026-01-13;2026-01-19;NULL;DONE;48;NULL;NULL
59;261606100467;29/MJP/I/2026;2026-01-19;2026-01-19;NULL;DONE;8;NULL;NULL
60;2616061000466;12/MJP/I/26;2026-01-17;2026-01-19;NULL;DONE;8;NULL;NULL
61;0035/INV-MJB/I/2026;49/MJP/IV/2025;2026-01-14;2026-01-20;NULL;DONE;34;NULL;NULL
62;0036/INV-MJB/I/2026;7/MJP/I/2026r;2026-01-14;2026-01-20;NULL;DONE;34;NULL;NULL
63;1810134343;21/MJP/I/26;2026-01-17;2026-01-20;NULL;DONE;6;NULL;NULL
64;1810134318;4/MJP/I/26;2026-01-17;2026-01-20;NULL;DONE;6;NULL;NULL
65;40-0123-26-0000553;26/MJP/I/26g;2026-01-19;2026-01-20;NULL;DONE;2;NULL;NULL
66;2516061014951;12/MJP/XII/25;2025-12-31;2026-01-20;NULL;DONE;8;NULL;NULL
