id;jumlah_barang_dipesan;jumlah_barang_masuk;batch;tgl_expired;keterangan;harga_beli;status_barang_masuk;beli_id;barang_id;created_at;updated_at
603;120;120;5690518T;2028-12-30;NULL;5781;LENGKAP;195;596;NULL;NULL
606;200;200;JR1002;2029-10-30;NULL;9123;LENGKAP;195;868;NULL;NULL
607;200;200;5085100;2030-12-30;NULL;44275;LENGKAP;195;221;NULL;NULL
608;480;480;01510015;2027-10-30;NULL;7969;LENGKAP;195;493;NULL;NULL
612;219;219;PIPL035;2028-09-05;NULL;10935;LENGKAP;196;1134;NULL;NULL
613;69;69;PIPL037;2028-09-05;NULL;10935;LENGKAP;196;1134;NULL;NULL
614;12;12;PIPL037;2028-09-05;NULL;10935;LENGKAP;196;1134;NULL;NULL
615;288;288;PHRF068;2028-08-15;NULL;15075;LENGKAP;196;926;NULL;NULL
616;12;12;PHRF068;2028-08-15;NULL;15075;LENGKAP;196;926;NULL;NULL
617;144;144;25N08810;2028-11-28;NULL;11560;LENGKAP;196;1582;NULL;NULL
618;6;6;25N08810;2028-11-28;NULL;11560;LENGKAP;196;1582;NULL;NULL
619;100;100;25K07260;2028-10-28;NULL;18000;LENGKAP;196;555;NULL;NULL
622;100;100;25N08624;2028-11-28;NULL;18000;LENGKAP;196;553;NULL;NULL
633;200;200;56F4030;2028-05-30;NULL;162000;LENGKAP;199;134;NULL;NULL
636;15;15;G02SDB;2028-04-30;NULL;181148;LENGKAP;200;331;NULL;NULL
637;15;15;G02M60;2028-12-30;NULL;181148;LENGKAP;200;331;NULL;NULL
643;42;42;56G7030;2029-07-31;NULL;54151;LENGKAP;202;246;NULL;NULL
644;58;58;56G7030;2029-07-31;NULL;54151;LENGKAP;202;246;NULL;NULL
646;3;3;E24J0412A;2026-10-31;NULL;950000;LENGKAP;203;180;NULL;NULL
649;96;96;2564040;2028-10-31;NULL;14523;LENGKAP;204;1451;NULL;NULL
650;144;144;2561033;2027-07-31;NULL;13883;LENGKAP;204;1221;NULL;NULL
651;20;20;HX5A237;2027-09-30;NULL;60655;LENGKAP;205;103;NULL;NULL
652;20;20;KX5A338;2027-11-30;NULL;60655;LENGKAP;205;99;NULL;NULL
653;50;50;JX5A098;2030-10-31;NULL;168971;LENGKAP;205;949;NULL;NULL
699;240;240;2512240;2028-01-01;NULL;6364;LENGKAP;215;1550;NULL;NULL
700;80;80;2511087;2027-11-30;NULL;140000;LENGKAP;215;406;NULL;NULL
701;120;120;2511166;2027-01-30;NULL;140000;LENGKAP;215;406;NULL;NULL
704;200;200;A52181;2029-10-31;NULL;100000;LENGKAP;217;1593;NULL;NULL
705;50;50;25KM002;2027-10-01;NULL;83000;LENGKAP;217;93;NULL;NULL
706;288;288;O1560055;2028-10-01;NULL;8400;LENGKAP;217;941;NULL;NULL
707;144;144;O1660086;2027-10-01;NULL;11600;LENGKAP;217;163;NULL;NULL
708;28;28;O1660086;2027-10-01;NULL;11600;LENGKAP;217;163;NULL;NULL
710;120;120;2511094;2027-10-14;NULL;13001;LENGKAP;218;1409;NULL;NULL
711;240;240;2512176;2027-12-15;NULL;8109;LENGKAP;218;1103;NULL;NULL
712;160;160;A06HN267;2029-11-28;NULL;120000;LENGKAP;219;355;NULL;NULL
713;30;30;A06HN268;2029-11-28;NULL;120000;LENGKAP;219;355;NULL;NULL
714;7;7;E25K0606A;2028-11-30;NULL;404500;LENGKAP;220;930;NULL;NULL
723;61;61;472925A;2028-06-30;NULL;140000;LENGKAP;224;689;NULL;NULL
724;39;39;471025B;2028-02-28;NULL;140000;LENGKAP;224;689;NULL;NULL
729;30;30;PIG50954;2027-06-01;NULL;120000;LENGKAP;225;1160;NULL;NULL
730;20;20;PSM30854;2028-11-30;NULL;1500000;LENGKAP;225;78;NULL;NULL
731;100;100;PSG74254;2027-06-01;NULL;40000;LENGKAP;225;59;NULL;NULL
732;50;50;PIL57454;2027-10-01;NULL;400000;LENGKAP;225;61;NULL;NULL
733;5;5;E24K0470A;2027-11-30;NULL;350000;LENGKAP;226;1594;NULL;NULL
734;10;10;E25I0479A;2028-09-30;NULL;300000;LENGKAP;226;1595;NULL;NULL
735;2;2;E24J0412A;2026-10-31;NULL;950000;LENGKAP;227;180;NULL;NULL
741;13;13;HTCNTA56072;2027-11-30;NULL;500000;LENGKAP;229;1597;NULL;NULL
742;80;80;HTCNTA56081;2027-11-30;NULL;500000;LENGKAP;229;1597;NULL;NULL
756;0;0;1EE172;2027-05-31;NULL;60000;LENGKAP;221;1599;NULL;NULL
757;24;24;25E006;2027-05-31;NULL;329048;LENGKAP;235;209;NULL;NULL
758;50;50;5DN069A;2027-08-31;NULL;132777;LENGKAP;236;83;NULL;NULL
759;10;10;5984213;2027-07-31;NULL;485415;LENGKAP;236;81;NULL;NULL
760;20;20;KX5A324;2027-11-30;NULL;60655;LENGKAP;236;104;NULL;NULL
761;20;20;KX5A160;2027-11-30;NULL;60655;LENGKAP;236;102;NULL;NULL
766;20;20;E25K0606A;2028-11-30;NULL;404500;LENGKAP;240;930;NULL;NULL
769;30;30;E25I0418A;2027-08-31;NULL;462000;LENGKAP;242;929;NULL;NULL
770;9;9;E25G0344A;2028-07-31;NULL;300000;LENGKAP;242;917;NULL;NULL
771;21;21;E25G0345A;2028-07-31;NULL;300000;LENGKAP;242;917;NULL;NULL
787;83;83;2601136;2028-12-30;NULL;6364;LENGKAP;247;1550;NULL;NULL
788;35;35;5L61211;2028-12-30;NULL;19250;LENGKAP;248;870;NULL;NULL
793;100;100;5AU1022;2028-10-30;NULL;25125;LENGKAP;248;1602;NULL;NULL
794;34;34;5CA1128;2028-12-30;NULL;22625;LENGKAP;248;1601;NULL;NULL
795;97;97;SCG42354;2029-06-01;NULL;5000;LENGKAP;249;43;NULL;NULL
796;203;203;SCG42554;2029-06-01;NULL;5000;LENGKAP;249;43;NULL;NULL
797;69;69;SCF29254;2027-05-01;NULL;50000;LENGKAP;249;816;NULL;NULL
798;7;7;SCF27854;2027-05-01;NULL;50000;LENGKAP;249;816;NULL;NULL
799;11;11;SCJ56654;2027-08-01;NULL;50000;LENGKAP;249;816;NULL;NULL
800;2;2;SCK68054;2027-09-01;NULL;50000;LENGKAP;249;816;NULL;NULL
801;60;60;RW6H;2027-06-30;NULL;146074;LENGKAP;241;1145;NULL;NULL
802;6;6;RW6H;2027-06-30;NULL;146074;LENGKAP;241;1145;NULL;NULL
804;1;1;N2508023;2027-08-30;NULL;60000;LENGKAP;250;416;NULL;NULL
805;141;141;N25100191;2027-10-30;NULL;60000;LENGKAP;250;416;NULL;NULL
806;38;38;N2510019;2027-10-30;NULL;60000;LENGKAP;250;416;NULL;NULL
810;480;480;2512008;2028-12-30;NULL;5867;LENGKAP;252;1037;NULL;NULL
811;480;480;2504074;2028-04-30;NULL;5867;LENGKAP;252;963;NULL;NULL
812;100;100;56F4008;2028-05-30;NULL;9612;LENGKAP;252;1207;NULL;NULL
813;250;250;DL1341;2028-12-30;NULL;3500;LENGKAP;252;1566;NULL;NULL
814;200;200;UD00S;2027-10-30;NULL;18340;LENGKAP;252;235;NULL;NULL
816;240;240;6690096T;2029-02-28;NULL;5781;LENGKAP;252;596;NULL;NULL
819;120;120;2509082;2027-09-30;NULL;17273;LENGKAP;253;879;NULL;NULL
820;480;480;01511019;2027-11-30;NULL;7969;LENGKAP;253;493;NULL;NULL
821;240;240;2601073;2028-01-13;NULL;6700;LENGKAP;254;879;NULL;NULL
825;120;120;2510146;2027-10-22;NULL;7657;LENGKAP;256;1567;NULL;NULL
826;0;0;2512001;2027-11-30;NULL;12162;LENGKAP;256;1603;NULL;NULL
828;105;105;S23250155;2027-10-01;NULL;4800;LENGKAP;257;164;NULL;NULL
829;165;165;S23250166;2027-12-01;NULL;4800;LENGKAP;257;164;NULL;NULL
830;27;27;S23250166;2027-12-01;NULL;4800;LENGKAP;257;164;NULL;NULL
831;20;20;F3060167;2027-12-01;NULL;135000;LENGKAP;257;892;NULL;NULL
832;6;6;F3060167;2027-12-01;NULL;135000;LENGKAP;257;892;NULL;NULL
834;84;84;C0360081;2027-09-01;NULL;17100;LENGKAP;257;1185;NULL;NULL
