id;jumlah_barang_dipesan;jumlah_barang_keluar;batch;tgl_expired;keterangan;harga_jual;status_barang_keluar;jual_id;barang_id;created_at;updated_at
85;6;6;F25011;2027-06-30;NULL;17600;LENGKAP;15;954;NULL;NULL
87;1;1;UD00L;2027-09-01;NULL;22000;LENGKAP;15;235;NULL;NULL
88;6;6;KCMYCD51451;2027-02-28;NULL;18000;LENGKAP;15;1244;NULL;NULL
89;6;6;KLPRGN44080;2026-08-31;NULL;12054;LENGKAP;15;642;NULL;NULL
90;1;1;30KE01;2028-02-27;NULL;171338;LENGKAP;15;321;NULL;NULL
91;2;2;CX5A042;2027-04-30;NULL;278200;LENGKAP;16;106;NULL;NULL
92;2;2;5EB0277;2027-02-28;NULL;33700;LENGKAP;16;114;NULL;NULL
93;12;12;C600105;2028-04-28;NULL;17220;LENGKAP;16;219;NULL;NULL
94;6;6;A800345;2029-04-07;NULL;21000;LENGKAP;16;218;NULL;NULL
95;5;5;A06HA081;2028-04-30;NULL;115000;LENGKAP;16;355;NULL;NULL
96;1;1;25054502;2028-04-12;NULL;65918;LENGKAP;16;107;NULL;NULL
97;12;12;15411404;2026-12-31;NULL;7409;LENGKAP;16;591;NULL;NULL
100;3;3;25EA038;2029-05-31;NULL;139200;LENGKAP;16;619;NULL;NULL
102;2;2;TSD38154;2027-03-01;NULL;140625;LENGKAP;15;1215;NULL;NULL
104;30;30;2510794042;2028-03-09;NULL;8804;LENGKAP;18;35;NULL;NULL
108;20;20;PSK07954;2027-09-01;NULL;200000;LENGKAP;10;62;NULL;NULL
110;3;3;9501020;2030-01-31;NULL;22314;LENGKAP;19;616;NULL;NULL
111;50;50;LCL90854;2028-10-01;NULL;3330;LENGKAP;19;1228;NULL;NULL
113;3;3;1508059;2027-08-30;NULL;10000;LENGKAP;19;493;NULL;NULL
114;24;24;5690316T;2028-08-30;NULL;8500;LENGKAP;19;596;NULL;NULL
116;1;1;13052588MX;NULL;NULL;144078;LENGKAP;19;447;NULL;NULL
117;6;6;24052;2029-05-30;NULL;71761;LENGKAP;19;1114;NULL;NULL
118;6;6;25HA043;2029-08-31;NULL;62400;LENGKAP;20;95;NULL;NULL
123;12;12;KJ33502;2028-10-16;NULL;7040;LENGKAP;21;1290;NULL;NULL
127;25;25;LCL90854;2028-10-01;NULL;3330;LENGKAP;21;1228;NULL;NULL
128;2;2;27502510;2027-10-30;NULL;25000;LENGKAP;21;1270;NULL;NULL
130;5;5;M05231101;2028-10-01;NULL;11000;LENGKAP;22;997;NULL;NULL
131;8;8;I26508;2028-09-11;NULL;16000;LENGKAP;22;18;NULL;NULL
132;12;12;I26504;2028-09-10;NULL;5700;LENGKAP;22;11;NULL;NULL
134;1;1;13052588MX;NULL;NULL;144078;LENGKAP;22;447;NULL;NULL
136;5;5;2508229;2027-08-22;NULL;21500;LENGKAP;23;544;NULL;NULL
163;4;4;14P0061;2028-01-27;NULL;15336;LENGKAP;28;1110;NULL;NULL
164;10;10;M08240701;2029-06-01;NULL;6146;LENGKAP;28;145;NULL;NULL
165;5;5;M38250401;2030-03-01;NULL;7182;LENGKAP;28;148;NULL;NULL
167;1;1;5085061;2030-07-31;NULL;49145;LENGKAP;28;221;NULL;NULL
168;5;5;5690316T;2028-08-30;NULL;8500;LENGKAP;30;596;NULL;NULL
169;5;5;D0660081;2027-04-01;NULL;12305;LENGKAP;30;161;NULL;NULL
171;3;3;F25011;2027-06-30;NULL;17600;LENGKAP;30;954;NULL;NULL
172;3;3;PX011;2029-09-01;NULL;12741;LENGKAP;30;1016;NULL;NULL
173;3;3;UM003;2027-05-31;NULL;24836;LENGKAP;30;649;NULL;NULL
179;5;5;5060C56703;2027-02-28;NULL;9568;LENGKAP;34;1246;NULL;NULL
235;1;1;PIG32554;2028-06-01;NULL;22500;LENGKAP;43;52;NULL;NULL
236;1;1;D40650;2026-07-16;NULL;13500;LENGKAP;43;348;NULL;NULL
238;1;1;5060C56703;2027-02-28;NULL;327;LENGKAP;43;1246;NULL;NULL
